symbol,name,price,exchange,exchangeShortName,type
MTCN,ArcelorMittal 5.50% Mandatorily,71.89,New York Stock Exchange,NYSE,stock
SGOV,iShares Trust - iShares 0-3 Month Treasury Bond ETF,100.03,New York Stock Exchange,NYSE,etf
SSLY,Syntax Stratified SmallCap ETF,52.59,New York Stock Exchange,NYSE,etf
CEFD,ETRACS Monthly Pay 1.5X Leveraged Closed-End Fund Index ETN,32.36,New York Stock Exchange,NYSE,etf
MLPR,ETRACS Quarterly Pay 1.5X Leveraged Alerian MLP Index ETN,31.9,New York Stock Exchange,NYSE,etf
MVRL,ETRACS Monthly Pay 1.5X Leveraged Mortgage REIT ETN,46.97,New York Stock Exchange,NYSE,etf
SBBA,Scorpio Tankers Inc. 7.00% Seni,24.84,New York Stock Exchange,NYSE,stock
EMBD,Global X Emerging Markets Bond ETF,26.59,New York Stock Exchange,NYSE,etf
HIPR,Direxion High Growth ETF,71.25,New York Stock Exchange,NYSE,etf
DYHG,Direxion Dynamic Hedge ETF,58.11,New York Stock Exchange,NYSE,etf
NIFE,Direxion Fallen Knives ETF,72.54,New York Stock Exchange,NYSE,etf
VTOL,Bristow Group Inc.,30.97,New York Stock Exchange,NYSE,stock
DEEP,Roundhill Acquirers Deep Value ETF,34.85,New York Stock Exchange,NYSE,etf
PAMC,Pacer Lunt MidCap Multi-Factor Alternator ETF,36.01,New York Stock Exchange,NYSE,etf
WFH,Direxion Work From Home ETF,77.72,New York Stock Exchange,NYSE,etf
IBDV,iShares Trust - iShares iBonds Dec 2030 Term Corporate ETF,25.49,New York Stock Exchange,NYSE,etf
PALC,Pacer Lunt Large Cap Multi-Factor Alternator ETF,39.65,New York Stock Exchange,NYSE,etf
EUSB,iShares Trust - iShares ESG Advanced Total USD Bond Market ETF,49.8,New York Stock Exchange,NYSE,etf
PFFV,Global X Variable Rate Preferred ETF ,28.08,New York Stock Exchange,NYSE,etf
SOAC,Sustainable Opportunities Acquisition Corp.,10.62,New York Stock Exchange,NYSE,stock
ALTL,Pacer Lunt Large Cap Alternator ETF,42.24,New York Stock Exchange,NYSE,etf
DYFN,Angel Oak Dynamic Financial Strategies Income Term Trust,20.65,New York Stock Exchange,NYSE,stock
FTHY,First Trust High Yield Opportunities 2027 Term Fund,20.63,New York Stock Exchange,NYSE,fund
AZAL,AllianzIM U.S. Large Cap Buffer10 Jul ETF,28.35,New York Stock Exchange,NYSE,etf
IBTK,iShares iBonds Dec 2030 Term Treasury ETF,23.81,New York Stock Exchange,NYSE,etf
GBGR,Global Beta Rising Stars ETF,23.69,New York Stock Exchange,NYSE,etf
GBLO,Global Beta Low Beta ETF,23.99,New York Stock Exchange,NYSE,etf
NWG,NatWest Group plc,5.98,New York Stock Exchange,NYSE,stock
ASGI,Aberdeen Standard Global Infrastructure Income Fund,20.02,New York Stock Exchange,NYSE,fund
CLII,Climate Change Crisis Real Impact I Acquisition Corporation,14.36,New York Stock Exchange,NYSE,stock
CPSR,Capstar Special Purpose Acquisition Corp.,9.95,New York Stock Exchange,NYSE,stock
DGNR,Dragoneer Growth Opportunities Corp.,9.26,New York Stock Exchange,NYSE,stock
EQD,Equity Distribution Acquisition Corp.,9.83,New York Stock Exchange,NYSE,stock
FGNA,FG New America Acquisition Corp.,9.97,New York Stock Exchange,NYSE,stock
NUVB,Nuvation Bio Inc.,9.34,New York Stock Exchange,NYSE,stock
SNPR,Tortoise Acquisition Corp. II,9.3,New York Stock Exchange,NYSE,stock
AJAX,Ajax I,8.72,New York Stock Exchange,NYSE,stock
EMPW,Empower Ltd.,9.8,New York Stock Exchange,NYSE,stock
SDHY,PGIM Short Duration High Yield Opportunities Fund,18.66,New York Stock Exchange,NYSE,fund
SPNV,"Supernova Partners Acquisition Company, Inc.",8.8,New York Stock Exchange,NYSE,stock
TPGY,TPG Pace Beneficial Finance Corp.,10.67,New York Stock Exchange,NYSE,stock
HPX,HPX Corp.,9.85,New York Stock Exchange,NYSE,stock
KWAC-UN,Kingswood Acquisition Corp.,10.38,New York Stock Exchange,NYSE,stock
PIPP-UN,Pine Island Acquisition Corp.,10.03,New York Stock Exchange,NYSE,stock
TPGY-UN,TPG Pace Beneficial Finance Corp.,10.93,New York Stock Exchange,NYSE,stock
XPOA-UN,"DPCM Capital, Inc.",10.0,New York Stock Exchange,NYSE,stock
ASZ-UN,Austerlitz Acquisition Corporation II,9.99,New York Stock Exchange,NYSE,stock
AUS-UN,Austerlitz Acquisition Corporation I,10.36,New York Stock Exchange,NYSE,stock
BUZZ,VanEck Vectors ETF Trust - VanEck Vectors Social Sentiment ETF,25.9,New York Stock Exchange,NYSE,etf
FHS,"First High-School Education Group Co., Ltd.",3.91,New York Stock Exchange,NYSE,stock
ESM-UN,ESM Acquisition Corporation,9.93,New York Stock Exchange,NYSE,stock
NGC-UN,Northern Genesis Acquisition Corp. III,10.06,New York Stock Exchange,NYSE,stock
PANA,Panacea Acquisition Corp. II,9.78,New York Stock Exchange,NYSE,stock
IACA,ION Acquisition Corp 1 Ltd.,10.54,New York Stock Exchange,NYSE,stock
LEV,The Lion Electric Company,13.1,New York Stock Exchange,NYSE,stock
ZIP,"ZipRecruiter, Inc.",28.47,New York Stock Exchange,NYSE,stock
ZME,Zhangmen Education Inc.,2.86,New York Stock Exchange,NYSE,stock
YMM,Full Truck Alliance Co. Ltd.,16.14,New York Stock Exchange,NYSE,stock
DDL,Dingdong (Cayman) Limited,23.15,New York Stock Exchange,NYSE,stock
IS,ironSource Ltd.,12.16,New York Stock Exchange,NYSE,stock
FOA,Finance Of America Companies Inc.,4.97,New York Stock Exchange,NYSE,stock
ONON,On Holding AG,36.02,New York Stock Exchange,NYSE,stock
ZETA,Zeta Global Holdings Corp.,6.0,New York Stock Exchange,NYSE,stock
WEBR,Weber Inc.,15.41,New York Stock Exchange,NYSE,stock
